run,gc-count,usage-pre,usage-post,pause,real,user,sys
0,3589,3126.6,1789.2,282.747,283.07,1651.12,1.46
1,3439,3115.7,1782.3,271.527,272.15,1584.58,1.33
2,3427,3122.9,1790.5,271.778,271.7,1585.96,1.54
3,3684,3137.9,1799.3,287.808,287.95,1683.44,1.44
4,3452,3125.0,1790.6,271.814,272.06,1590.2,1.49
5,3291,3122.8,1793.9,256.332,256.35,1498.89,1.64
6,3453,3117.8,1781.6,272.260,272.33,1592.31,1.65
7,3656,3138.5,1797.3,287.582,287.9,1680.48,1.34
8,3580,3127.3,1794.2,283.571,283.43,1656.36,1.63
9,3599,3125.0,1785.2,286.311,286.61,1667.95,1.79
